ID,Nome,Cognome,Telefono,Professione,Richiami,AnnoInizio
01670,Luca,Bianchi,+397525587198,Chimico,2,2010
01671,Anna,Bianchi,+392038085883,Capo settore industriale,3,2023
01672,Chiara,Neri,+393891442849,Chimico,4,2014
01673,Luca,Lombardi,+397427549460,Chimico,0,1996
01674,Luca,Neri,+398165908705,Chimico,2,2006
01675,Anna,Fontana,+395735853186,Ingegnere,3,2022
01676,Marco,Greco,+394227476377,Chimico,1,1996
01677,Elena,Fontana,+390614729205,Chimico,1,2012
01678,Chiara,Conti,+393991368623,Ingegnere,5,2005
01679,Giorgio,Conti,+396535721053,Capo settore industriale,3,2015
01680,Elena,Fontana,+391393179211,Informatico,4,2015
01681,Giorgio,Esposito,+394847496250,Chimico,2,2024
01682,Luca,Bianchi,+398345868802,Informatico,0,2004
01683,Luca,Fontana,+393595027691,Informatico,0,1997
01684,Chiara,Bianchi,+396880705007,Ingegnere,0,2000
01685,Luca,Gallo,+392386659911,Informatico,0,2001
01686,Sara,Bianchi,+390282729200,Ingegnere,0,2022
01687,Giorgio,Bianchi,+397160135097,Informatico,5,2013
01688,Francesco,Fontana,+395219735435,Informatico,3,2017
01689,Giorgio,Esposito,+394282873146,Informatico,3,2023
01690,Giorgio,Lombardi,+397382950874,Informatico,5,2015
01691,Luca,Lombardi,+390611805422,Ingegnere,2,2019
01692,Paolo,Esposito,+396091613351,Capo settore industriale,5,2009
01693,Anna,Neri,+393876794157,Chimico,3,2013
01694,Luca,Fontana,+392405521221,Capo settore industriale,3,2005
01695,Marco,Rossi,+396256125952,Capo settore industriale,4,1998
01696,Sara,Lombardi,+398055224735,Ingegnere,1,2022
01697,Chiara,Gallo,+396151425251,Chimico,2,1996
01698,Luca,Conti,+398327847132,Informatico,4,2014
01699,Giorgio,Greco,+390224263499,Chimico,2,1999
