ID,Nome,Cognome,Telefono,Professione,Richiami,AnnoInizio
01549,Francesco,Verdi,+392741966402,Ingegnere,3,2014
01550,Paolo,Rossi,+392475815942,Chimico,2,2010
01551,Luca,Gallo,+390774874110,Capo settore industriale,3,1997
01552,Anna,Esposito,+398163777764,Ingegnere,0,1999
01553,Giorgio,Lombardi,+392203497674,Ingegnere,2,2024
01554,Marco,Fontana,+390665472472,Informatico,1,2018
01555,Anna,Fontana,+399805245451,Ingegnere,3,2022
01556,Sara,Conti,+393580668414,Chimico,1,2013
01557,Giulia,Bianchi,+392177871202,Informatico,4,2016
01558,Giulia,Greco,+390270374963,Chimico,3,2014
01559,Giorgio,Lombardi,+399425212885,Informatico,3,1997
01560,Marco,Neri,+392531441191,Capo settore industriale,4,2011
01561,Giorgio,Bianchi,+399994509243,Chimico,2,2015
01562,Marco,Conti,+396447702039,Ingegnere,2,2022
01563,Sara,Verdi,+393794871110,Chimico,5,2020
01564,Marco,Verdi,+395227424363,Ingegnere,2,2000
01565,Chiara,Rossi,+394205122825,Capo settore industriale,2,1995
01566,Francesco,Gallo,+395459541776,Capo settore industriale,4,1996
01567,Anna,Esposito,+396802911267,Chimico,1,1995
01568,Francesco,Greco,+392766718368,Ingegnere,5,2004
01569,Anna,Greco,+398180073451,Chimico,0,2018
01570,Sara,Bianchi,+393006014215,Informatico,1,2003
01571,Francesco,Rossi,+399488852340,Ingegnere,1,2021
01572,Anna,Gallo,+395811832836,Capo settore industriale,4,2013
01573,Sara,Neri,+396377036501,Chimico,0,2022
01574,Anna,Greco,+394219000304,Capo settore industriale,3,2018
01575,Chiara,Lombardi,+394921054291,Informatico,4,1998
01576,Chiara,Lombardi,+391753658152,Capo settore industriale,5,1996
01577,Sara,Conti,+391072121631,Ingegnere,5,1998
01578,Francesco,Esposito,+396601520958,Capo settore industriale,0,2014
01579,Anna,Fontana,+397463911515,Capo settore industriale,1,2008
01580,Sara,Verdi,+390216568388,Capo settore industriale,1,2013
01581,Sara,Conti,+391986112903,Chimico,0,2001
01582,Chiara,Lombardi,+393259169282,Capo settore industriale,1,2021
01583,Giorgio,Greco,+399976297559,Capo settore industriale,5,2024
01584,Paolo,Esposito,+394120412471,Capo settore industriale,0,1996
01585,Paolo,Neri,+390976522454,Chimico,5,2001
01586,Paolo,Conti,+393887614613,Capo settore industriale,0,2006
01587,Giorgio,Fontana,+391605341124,Ingegnere,2,2015
01588,Luca,Bianchi,+393917341715,Capo settore industriale,5,2024
01589,Marco,Neri,+397368284987,Capo settore industriale,3,2016
01590,Chiara,Gallo,+392095245413,Ingegnere,2,2024
01591,Chiara,Neri,+391439915863,Informatico,0,2022
01592,Sara,Neri,+399481454656,Capo settore industriale,3,2000
01593,Anna,Gallo,+398676132955,Ingegnere,4,2020
01594,Anna,Rossi,+395716684599,Chimico,1,2016
01595,Giorgio,Greco,+390501419751,Ingegnere,4,2012
01596,Sara,Fontana,+393182178046,Ingegnere,2,2008
01597,Paolo,Lombardi,+399754782478,Informatico,4,2022
01598,Elena,Conti,+392630047256,Chimico,1,2016
01599,Chiara,Fontana,+391608375486,Informatico,2,2003
